name;power;accuracy;damage_class;priority;type
leech-seed;;90.0;status;0;grass
growth;;;status;0;normal
razor-leaf;55.0;95.0;physical;0;grass
solar-beam;120.0;100.0;special;0;grass
poison-powder;;75.0;status;0;poison
stun-spore;;75.0;status;0;grass
sleep-powder;;75.0;status;0;grass
petal-dance;120.0;100.0;special;0;grass
string-shot;;95.0;status;0;bug
dragon-rage;;100.0;special;0;dragon
fire-spin;35.0;85.0;special;0;fire
thunder-shock;40.0;100.0;special;0;electric
thunderbolt;90.0;100.0;special;0;electric
thunder-wave;;90.0;status;0;electric
thunder;110.0;70.0;special;0;electric
rock-throw;50.0;90.0;physical;0;rock
earthquake;100.0;100.0;physical;0;ground
fissure;;30.0;physical;0;ground
dig;80.0;100.0;physical;0;ground
toxic;;90.0;status;0;poison
confusion;50.0;100.0;special;0;psychic
psychic;90.0;100.0;special;0;psychic
hypnosis;;60.0;status;0;psychic
meditate;;;status;0;psychic
agility;;;status;0;psychic
quick-attack;40.0;100.0;physical;1;normal
rage;20.0;100.0;physical;0;normal
teleport;;;status;-6;psychic
night-shade;;100.0;special;0;ghost
mimic;;;status;0;normal
screech;;85.0;status;0;normal
double-team;;;status;0;normal
recover;;;status;0;normal
harden;;;status;0;normal
minimize;;;status;0;normal
smokescreen;;100.0;status;0;normal
confuse-ray;;100.0;status;0;ghost
withdraw;;;status;0;water
defense-curl;;;status;0;normal
barrier;;;status;0;psychic
light-screen;;;status;0;psychic
haze;;;status;0;ice
reflect;;;status;0;psychic
focus-energy;;;status;0;normal
bide;;;physical;1;normal
metronome;;;status;0;normal
mirror-move;;;status;0;flying
self-destruct;200.0;100.0;physical;0;normal
egg-bomb;100.0;75.0;physical;0;normal
lick;30.0;100.0;physical;0;ghost
smog;30.0;70.0;special;0;poison
sludge;65.0;100.0;special;0;poison
bone-club;65.0;85.0;physical;0;ground
fire-blast;110.0;85.0;special;0;fire
waterfall;80.0;100.0;physical;0;water
clamp;35.0;85.0;physical;0;water
swift;60.0;;special;0;normal
skull-bash;130.0;100.0;physical;0;normal
spike-cannon;20.0;100.0;physical;0;normal
constrict;10.0;100.0;physical;0;normal
amnesia;;;status;0;psychic
kinesis;;80.0;status;0;psychic
soft-boiled;;;status;0;normal
high-jump-kick;130.0;90.0;physical;0;fighting
glare;;100.0;status;0;normal
dream-eater;100.0;100.0;special;0;psychic
poison-gas;;90.0;status;0;poison
barrage;15.0;85.0;physical;0;normal
leech-life;80.0;100.0;physical;0;bug
lovely-kiss;;75.0;status;0;normal
sky-attack;140.0;90.0;physical;0;flying
transform;;;status;0;normal
bubble;40.0;100.0;special;0;water
dizzy-punch;70.0;100.0;physical;0;normal
spore;;100.0;status;0;grass
flash;;100.0;status;0;normal
psywave;;100.0;special;0;psychic
splash;;;status;0;normal
acid-armor;;;status;0;poison
crabhammer;100.0;90.0;physical;0;water
explosion;250.0;100.0;physical;0;normal
fury-swipes;18.0;80.0;physical;0;normal
bonemerang;50.0;90.0;physical;0;ground
rest;;;status;0;psychic
rock-slide;75.0;90.0;physical;0;rock
hyper-fang;80.0;90.0;physical;0;normal
sharpen;;;status;0;normal
conversion;;;status;0;normal
tri-attack;80.0;100.0;special;0;normal
super-fang;;90.0;physical;0;normal
slash;70.0;100.0;physical;0;normal
substitute;;;status;0;normal
struggle;50.0;;physical;0;normal
sketch;;;status;0;normal
triple-kick;10.0;90.0;physical;0;fighting
thief;60.0;100.0;physical;0;dark
spider-web;;;status;0;bug
mind-reader;;;status;0;normal
nightmare;;100.0;status;0;ghost
flame-wheel;60.0;100.0;physical;0;fire
snore;50.0;100.0;special;0;normal
curse;;;status;0;ghost
flail;;100.0;physical;0;normal
conversion-2;;;status;0;normal
aeroblast;100.0;95.0;special;0;flying
cotton-spore;;100.0;status;0;grass
reversal;;100.0;physical;0;fighting
spite;;100.0;status;0;ghost
powder-snow;40.0;100.0;special;0;ice
protect;;;status;4;normal
mach-punch;40.0;100.0;physical;1;fighting
scary-face;;100.0;status;0;normal
feint-attack;60.0;;physical;0;dark
sweet-kiss;;75.0;status;0;fairy
belly-drum;;;status;0;normal
sludge-bomb;90.0;100.0;special;0;poison
mud-slap;20.0;100.0;special;0;ground
octazooka;65.0;85.0;special;0;water
spikes;;;status;0;ground
zap-cannon;120.0;50.0;special;0;electric
foresight;;;status;0;normal
destiny-bond;;;status;0;ghost
perish-song;;;status;0;normal
icy-wind;55.0;95.0;special;0;ice
detect;;;status;4;fighting
bone-rush;25.0;90.0;physical;0;ground
lock-on;;;status;0;normal
outrage;120.0;100.0;physical;0;dragon
sandstorm;;;status;0;rock
giga-drain;75.0;100.0;special;0;grass
endure;;;status;4;normal
charm;;100.0;status;0;fairy
rollout;30.0;90.0;physical;0;rock
false-swipe;40.0;100.0;physical;0;normal
swagger;;85.0;status;0;normal
milk-drink;;;status;0;normal
spark;65.0;100.0;physical;0;electric
fury-cutter;40.0;95.0;physical;0;bug
steel-wing;70.0;90.0;physical;0;steel
mean-look;;;status;0;normal
attract;;100.0;status;0;normal
sleep-talk;;;status;0;normal
heal-bell;;;status;0;normal
return;;100.0;physical;0;normal
present;;90.0;physical;0;normal
frustration;;100.0;physical;0;normal
safeguard;;;status;0;normal
pain-split;;;status;0;normal
sacred-fire;100.0;95.0;physical;0;fire
magnitude;;100.0;physical;0;ground
dynamic-punch;100.0;50.0;physical;0;fighting
megahorn;120.0;85.0;physical;0;bug
dragon-breath;60.0;100.0;special;0;dragon
baton-pass;;;status;0;normal
encore;;100.0;status;0;normal
pursuit;40.0;100.0;physical;0;dark
rapid-spin;50.0;100.0;physical;0;normal
sweet-scent;;100.0;status;0;normal
iron-tail;100.0;75.0;physical;0;steel
metal-claw;50.0;95.0;physical;0;steel
vital-throw;70.0;;physical;-1;fighting
morning-sun;;;status;0;normal
synthesis;;;status;0;grass
moonlight;;;status;0;fairy
hidden-power;60.0;100.0;special;0;normal
cross-chop;100.0;80.0;physical;0;fighting
twister;40.0;100.0;special;0;dragon
rain-dance;;;status;0;water
sunny-day;;;status;0;fire
crunch;80.0;100.0;physical;0;dark
mirror-coat;;100.0;special;-5;psychic
psych-up;;;status;0;normal
extreme-speed;80.0;100.0;physical;2;normal
ancient-power;60.0;100.0;special;0;rock
shadow-ball;80.0;100.0;special;0;ghost
future-sight;120.0;100.0;special;0;psychic
rock-smash;40.0;100.0;physical;0;fighting
whirlpool;35.0;85.0;special;0;water
beat-up;;100.0;physical;0;dark
fake-out;40.0;100.0;physical;3;normal
uproar;90.0;100.0;special;0;normal
stockpile;;;status;0;normal
spit-up;;100.0;special;0;normal
swallow;;;status;0;normal
heat-wave;95.0;90.0;special;0;fire
hail;;;status;0;ice
torment;;100.0;status;0;dark
flatter;;100.0;status;0;dark
will-o-wisp;;85.0;status;0;fire
memento;;100.0;status;0;dark
facade;70.0;100.0;physical;0;normal
focus-punch;150.0;100.0;physical;-3;fighting
smelling-salts;70.0;100.0;physical;0;normal
follow-me;;;status;2;normal
nature-power;;;status;0;normal
charge;;;status;0;electric
taunt;;100.0;status;0;dark
helping-hand;;;status;5;normal
trick;;100.0;status;0;psychic
role-play;;;status;0;psychic
wish;;;status;0;normal
assist;;;status;0;normal
ingrain;;;status;0;grass
superpower;120.0;100.0;physical;0;fighting
magic-coat;;;status;4;psychic
recycle;;;status;0;normal
revenge;60.0;100.0;physical;-4;fighting
brick-break;75.0;100.0;physical;0;fighting
yawn;;;status;0;normal
knock-off;65.0;100.0;physical;0;dark
endeavor;;100.0;physical;0;normal
eruption;150.0;100.0;special;0;fire
skill-swap;;;status;0;psychic
imprison;;;status;0;psychic
refresh;;;status;0;normal
grudge;;;status;0;ghost
snatch;;;status;4;dark
secret-power;70.0;100.0;physical;0;normal
dive;80.0;100.0;physical;0;water
arm-thrust;15.0;100.0;physical;0;fighting
camouflage;;;status;0;normal
tail-glow;;;status;0;bug
luster-purge;95.0;100.0;special;0;psychic
mist-ball;95.0;100.0;special;0;psychic
feather-dance;;100.0;status;0;flying
teeter-dance;;100.0;status;0;normal
blaze-kick;85.0;90.0;physical;0;fire
mud-sport;;;status;0;ground
ice-ball;30.0;90.0;physical;0;ice
needle-arm;60.0;100.0;physical;0;grass
slack-off;;;status;0;normal
hyper-voice;90.0;100.0;special;0;normal
poison-fang;50.0;100.0;physical;0;poison
crush-claw;75.0;95.0;physical;0;normal
blast-burn;150.0;90.0;special;0;fire
hydro-cannon;150.0;90.0;special;0;water
meteor-mash;90.0;90.0;physical;0;steel
astonish;30.0;100.0;physical;0;ghost
weather-ball;50.0;100.0;special;0;normal
aromatherapy;;;status;0;grass
fake-tears;;100.0;status;0;dark
air-cutter;60.0;95.0;special;0;flying
overheat;130.0;90.0;special;0;fire
odor-sleuth;;;status;0;normal
rock-tomb;60.0;95.0;physical;0;rock
silver-wind;60.0;100.0;special;0;bug
metal-sound;;85.0;status;0;steel
grass-whistle;;55.0;status;0;grass
tickle;;100.0;status;0;normal
cosmic-power;;;status;0;psychic
water-spout;150.0;100.0;special;0;water
signal-beam;75.0;100.0;special;0;bug
shadow-punch;60.0;;physical;0;ghost
extrasensory;80.0;100.0;special;0;psychic
sky-uppercut;85.0;90.0;physical;0;fighting
sand-tomb;35.0;85.0;physical;0;ground
sheer-cold;;30.0;special;0;ice
muddy-water;90.0;85.0;special;0;water
bullet-seed;25.0;100.0;physical;0;grass
aerial-ace;60.0;;physical;0;flying
icicle-spear;25.0;100.0;physical;0;ice
iron-defense;;;status;0;steel
block;;;status;0;normal
howl;;;status;0;normal
dragon-claw;80.0;100.0;physical;0;dragon
frenzy-plant;150.0;90.0;special;0;grass
bulk-up;;;status;0;fighting
bounce;85.0;85.0;physical;0;flying
mud-shot;55.0;95.0;special;0;ground
poison-tail;50.0;100.0;physical;0;poison
covet;60.0;100.0;physical;0;normal
volt-tackle;120.0;100.0;physical;0;electric
magical-leaf;60.0;;special;0;grass
water-sport;;;status;0;water
calm-mind;;;status;0;psychic
leaf-blade;90.0;100.0;physical;0;grass
dragon-dance;;;status;0;dragon
rock-blast;25.0;90.0;physical;0;rock
shock-wave;60.0;;special;0;electric
water-pulse;60.0;100.0;special;0;water
doom-desire;140.0;100.0;special;0;steel
psycho-boost;140.0;90.0;special;0;psychic
roost;;;status;0;flying
gravity;;;status;0;psychic
miracle-eye;;;status;0;psychic
wake-up-slap;70.0;100.0;physical;0;fighting
hammer-arm;100.0;90.0;physical;0;fighting
gyro-ball;;100.0;physical;0;steel
healing-wish;;;status;0;psychic
brine;65.0;100.0;special;0;water
natural-gift;;100.0;physical;0;normal
feint;30.0;100.0;physical;2;normal
pluck;60.0;100.0;physical;0;flying
tailwind;;;status;0;flying
acupressure;;;status;0;normal
metal-burst;;100.0;physical;0;steel
u-turn;70.0;100.0;physical;0;bug
close-combat;120.0;100.0;physical;0;fighting
payback;50.0;100.0;physical;0;dark
assurance;60.0;100.0;physical;0;dark
embargo;;100.0;status;0;dark
fling;;100.0;physical;0;dark
psycho-shift;;100.0;status;0;psychic
trump-card;;;special;0;normal
heal-block;;100.0;status;0;psychic
wring-out;;100.0;special;0;normal
power-trick;;;status;0;psychic
gastro-acid;;100.0;status;0;poison
lucky-chant;;;status;0;normal
me-first;;;status;0;normal
copycat;;;status;0;normal
power-swap;;;status;0;psychic
guard-swap;;;status;0;psychic
punishment;;100.0;physical;0;dark
last-resort;140.0;100.0;physical;0;normal
worry-seed;;100.0;status;0;grass
sucker-punch;70.0;100.0;physical;1;dark
toxic-spikes;;;status;0;poison
heart-swap;;;status;0;psychic
aqua-ring;;;status;0;water
magnet-rise;;;status;0;electric
flare-blitz;120.0;100.0;physical;0;fire
force-palm;60.0;100.0;physical;0;fighting
aura-sphere;80.0;;special;0;fighting
rock-polish;;;status;0;rock
poison-jab;80.0;100.0;physical;0;poison
dark-pulse;80.0;100.0;special;0;dark
night-slash;70.0;100.0;physical;0;dark
aqua-tail;90.0;90.0;physical;0;water
seed-bomb;80.0;100.0;physical;0;grass
air-slash;75.0;95.0;special;0;flying
x-scissor;80.0;100.0;physical;0;bug
bug-buzz;90.0;100.0;special;0;bug
dragon-pulse;85.0;100.0;special;0;dragon
dragon-rush;100.0;75.0;physical;0;dragon
power-gem;80.0;100.0;special;0;rock
drain-punch;75.0;100.0;physical;0;fighting
vacuum-wave;40.0;100.0;special;1;fighting
focus-blast;120.0;70.0;special;0;fighting
energy-ball;90.0;100.0;special;0;grass
brave-bird;120.0;100.0;physical;0;flying
earth-power;90.0;100.0;special;0;ground
switcheroo;;100.0;status;0;dark
giga-impact;150.0;90.0;physical;0;normal
nasty-plot;;;status;0;dark
bullet-punch;40.0;100.0;physical;1;steel
avalanche;60.0;100.0;physical;-4;ice
ice-shard;40.0;100.0;physical;1;ice
shadow-claw;70.0;100.0;physical;0;ghost
thunder-fang;65.0;95.0;physical;0;electric
ice-fang;65.0;95.0;physical;0;ice
fire-fang;65.0;95.0;physical;0;fire
shadow-sneak;40.0;100.0;physical;1;ghost
mud-bomb;65.0;85.0;special;0;ground
psycho-cut;70.0;100.0;physical;0;psychic
zen-headbutt;80.0;90.0;physical;0;psychic
mirror-shot;65.0;85.0;special;0;steel
flash-cannon;80.0;100.0;special;0;steel
rock-climb;90.0;85.0;physical;0;normal
defog;;;status;0;flying
trick-room;;;status;-7;psychic
draco-meteor;130.0;90.0;special;0;dragon
discharge;80.0;100.0;special;0;electric
lava-plume;80.0;100.0;special;0;fire
leaf-storm;130.0;90.0;special;0;grass
power-whip;120.0;85.0;physical;0;grass
rock-wrecker;150.0;90.0;physical;0;rock
cross-poison;70.0;100.0;physical;0;poison
gunk-shot;120.0;80.0;physical;0;poison
iron-head;80.0;100.0;physical;0;steel
magnet-bomb;60.0;;physical;0;steel
stone-edge;100.0;80.0;physical;0;rock
captivate;;100.0;status;0;normal
stealth-rock;;;status;0;rock
grass-knot;;100.0;special;0;grass
chatter;65.0;100.0;special;0;flying
judgment;100.0;100.0;special;0;normal
bug-bite;60.0;100.0;physical;0;bug
charge-beam;50.0;90.0;special;0;electric
wood-hammer;120.0;100.0;physical;0;grass
aqua-jet;40.0;100.0;physical;1;water
attack-order;90.0;100.0;physical;0;bug
defend-order;;;status;0;bug
heal-order;;;status;0;bug
head-smash;150.0;80.0;physical;0;rock
double-hit;35.0;90.0;physical;0;normal
roar-of-time;150.0;90.0;special;0;dragon
spacial-rend;100.0;95.0;special;0;dragon
lunar-dance;;;status;0;psychic
crush-grip;;100.0;physical;0;normal
magma-storm;100.0;75.0;special;0;fire
dark-void;;50.0;status;0;dark
seed-flare;120.0;85.0;special;0;grass
ominous-wind;60.0;100.0;special;0;ghost
shadow-force;120.0;100.0;physical;0;ghost
hone-claws;;;status;0;dark
wide-guard;;;status;3;rock
guard-split;;;status;0;psychic
power-split;;;status;0;psychic
wonder-room;;;status;0;psychic
psyshock;80.0;100.0;special;0;psychic
venoshock;65.0;100.0;special;0;poison
autotomize;;;status;0;steel
rage-powder;;;status;2;bug
telekinesis;;;status;0;psychic
magic-room;;;status;0;psychic
smack-down;50.0;100.0;physical;0;rock
storm-throw;60.0;100.0;physical;0;fighting
flame-burst;70.0;100.0;special;0;fire
sludge-wave;95.0;100.0;special;0;poison
quiver-dance;;;status;0;bug
heavy-slam;;100.0;physical;0;steel
synchronoise;120.0;100.0;special;0;psychic
electro-ball;;100.0;special;0;electric
soak;;100.0;status;0;water
flame-charge;50.0;100.0;physical;0;fire
coil;;;status;0;poison
low-sweep;65.0;100.0;physical;0;fighting
acid-spray;40.0;100.0;special;0;poison
foul-play;95.0;100.0;physical;0;dark
simple-beam;;100.0;status;0;normal
entrainment;;100.0;status;0;normal
after-you;;;status;0;normal
round;60.0;100.0;special;0;normal
echoed-voice;40.0;100.0;special;0;normal
chip-away;70.0;100.0;physical;0;normal
clear-smog;50.0;;special;0;poison
stored-power;20.0;100.0;special;0;psychic
quick-guard;;;status;3;fighting
ally-switch;;;status;2;psychic
scald;80.0;100.0;special;0;water
shell-smash;;;status;0;normal
heal-pulse;;;status;0;psychic
hex;65.0;100.0;special;0;ghost
sky-drop;60.0;100.0;physical;0;flying
shift-gear;;;status;0;steel
circle-throw;60.0;90.0;physical;-6;fighting
incinerate;60.0;100.0;special;0;fire
quash;;100.0;status;0;dark
acrobatics;55.0;100.0;physical;0;flying
reflect-type;;;status;0;normal
retaliate;70.0;100.0;physical;0;normal
final-gambit;;100.0;special;0;fighting
bestow;;;status;0;normal
inferno;100.0;50.0;special;0;fire
water-pledge;80.0;100.0;special;0;water
fire-pledge;80.0;100.0;special;0;fire
grass-pledge;80.0;100.0;special;0;grass
volt-switch;70.0;100.0;special;0;electric
struggle-bug;50.0;100.0;special;0;bug
bulldoze;60.0;100.0;physical;0;ground
frost-breath;60.0;90.0;special;0;ice
dragon-tail;60.0;90.0;physical;-6;dragon
work-up;;;status;0;normal
electroweb;55.0;95.0;special;0;electric
wild-charge;90.0;100.0;physical;0;electric
drill-run;80.0;95.0;physical;0;ground
dual-chop;40.0;90.0;physical;0;dragon
heart-stamp;60.0;100.0;physical;0;psychic
horn-leech;75.0;100.0;physical;0;grass
sacred-sword;90.0;100.0;physical;0;fighting
razor-shell;75.0;95.0;physical;0;water
heat-crash;;100.0;physical;0;fire
leaf-tornado;65.0;90.0;special;0;grass
steamroller;65.0;100.0;physical;0;bug
cotton-guard;;;status;0;grass
night-daze;85.0;95.0;special;0;dark
psystrike;100.0;100.0;special;0;psychic
tail-slap;25.0;85.0;physical;0;normal
hurricane;110.0;70.0;special;0;flying
head-charge;120.0;100.0;physical;0;normal
gear-grind;50.0;85.0;physical;0;steel
searing-shot;100.0;100.0;special;0;fire
techno-blast;120.0;100.0;special;0;normal
relic-song;75.0;100.0;special;0;normal
secret-sword;85.0;100.0;special;0;fighting
glaciate;65.0;95.0;special;0;ice
bolt-strike;130.0;85.0;physical;0;electric
blue-flare;130.0;85.0;special;0;fire
fiery-dance;80.0;100.0;special;0;fire
freeze-shock;140.0;90.0;physical;0;ice
ice-burn;140.0;90.0;special;0;ice
snarl;55.0;95.0;special;0;dark
icicle-crash;85.0;90.0;physical;0;ice
v-create;180.0;95.0;physical;0;fire
fusion-flare;100.0;100.0;special;0;fire
fusion-bolt;100.0;100.0;physical;0;electric
flying-press;100.0;95.0;physical;0;fighting
mat-block;;;status;0;fighting
belch;120.0;90.0;special;0;poison
rototiller;;;status;0;ground
sticky-web;;;status;0;bug
fell-stinger;50.0;100.0;physical;0;bug
phantom-force;90.0;100.0;physical;0;ghost
trick-or-treat;;100.0;status;0;ghost
noble-roar;;100.0;status;0;normal
ion-deluge;;;status;1;electric
parabolic-charge;65.0;100.0;special;0;electric
forests-curse;;100.0;status;0;grass
petal-blizzard;90.0;100.0;physical;0;grass
freeze-dry;70.0;100.0;special;0;ice
disarming-voice;40.0;;special;0;fairy
parting-shot;;100.0;status;0;dark
topsy-turvy;;;status;0;dark
draining-kiss;50.0;100.0;special;0;fairy
crafty-shield;;;status;3;fairy
flower-shield;;;status;0;fairy
grassy-terrain;;;status;0;grass
misty-terrain;;;status;0;fairy
electrify;;;status;0;electric
play-rough;90.0;90.0;physical;0;fairy
fairy-wind;40.0;100.0;special;0;fairy
moonblast;95.0;100.0;special;0;fairy
boomburst;140.0;100.0;special;0;normal
fairy-lock;;;status;0;fairy
kings-shield;;;status;4;steel
play-nice;;;status;0;normal
confide;;;status;0;normal
diamond-storm;100.0;95.0;physical;0;rock
steam-eruption;110.0;95.0;special;0;water
hyperspace-hole;80.0;;special;0;psychic
water-shuriken;15.0;100.0;special;1;water
mystical-fire;75.0;100.0;special;0;fire
spiky-shield;;;status;4;grass
aromatic-mist;;;status;0;fairy
eerie-impulse;;100.0;status;0;electric
venom-drench;;100.0;status;0;poison
powder;;100.0;status;1;bug
geomancy;;;status;0;fairy
magnetic-flux;;;status;0;electric
happy-hour;;;status;0;normal
electric-terrain;;;status;0;electric
dazzling-gleam;80.0;100.0;special;0;fairy
celebrate;;;status;0;normal
hold-hands;;;status;0;normal
baby-doll-eyes;;100.0;status;1;fairy
nuzzle;20.0;100.0;physical;0;electric
hold-back;40.0;100.0;physical;0;normal
infestation;20.0;100.0;special;0;bug
power-up-punch;40.0;100.0;physical;0;fighting
oblivion-wing;80.0;100.0;special;0;flying
thousand-arrows;90.0;100.0;physical;0;ground
thousand-waves;90.0;100.0;physical;0;ground
lands-wrath;90.0;100.0;physical;0;ground
light-of-ruin;140.0;90.0;special;0;fairy
origin-pulse;110.0;85.0;special;0;water
precipice-blades;120.0;85.0;physical;0;ground
dragon-ascent;120.0;100.0;physical;0;flying
hyperspace-fury;100.0;;physical;0;dark
breakneck-blitz--physical;;;physical;0;normal
breakneck-blitz--special;;;special;0;normal
all-out-pummeling--physical;;;physical;0;fighting
all-out-pummeling--special;;;special;0;fighting
supersonic-skystrike--physical;;;physical;0;flying
supersonic-skystrike--special;;;special;0;flying
acid-downpour--physical;;;physical;0;poison
acid-downpour--special;;;special;0;poison
tectonic-rage--physical;;;physical;0;ground
tectonic-rage--special;;;special;0;ground
continental-crush--physical;;;physical;0;rock
continental-crush--special;;;special;0;rock
savage-spin-out--physical;;;physical;0;bug
savage-spin-out--special;;;special;0;bug
never-ending-nightmare--physical;;;physical;0;ghost
never-ending-nightmare--special;;;special;0;ghost
corkscrew-crash--physical;;;physical;0;steel
corkscrew-crash--special;;;special;0;steel
inferno-overdrive--physical;;;physical;0;fire
inferno-overdrive--special;;;special;0;fire
hydro-vortex--physical;;;physical;0;water
hydro-vortex--special;;;special;0;water
bloom-doom--physical;;;physical;0;grass
bloom-doom--special;;;special;0;grass
gigavolt-havoc--physical;;;physical;0;electric
gigavolt-havoc--special;;;special;0;electric
shattered-psyche--physical;;;physical;0;psychic
shattered-psyche--special;;;special;0;psychic
subzero-slammer--physical;;;physical;0;ice
subzero-slammer--special;;;special;0;ice
devastating-drake--physical;;;physical;0;dragon
devastating-drake--special;;;special;0;dragon
black-hole-eclipse--physical;;;physical;0;dark
black-hole-eclipse--special;;;special;0;dark
twinkle-tackle--physical;;;physical;0;fairy
twinkle-tackle--special;;;special;0;fairy
catastropika;210.0;;physical;0;electric
shore-up;;;status;0;ground
first-impression;90.0;100.0;physical;2;bug
baneful-bunker;;;status;4;poison
spirit-shackle;80.0;100.0;physical;0;ghost
darkest-lariat;85.0;100.0;physical;0;dark
sparkling-aria;90.0;100.0;special;0;water
ice-hammer;100.0;90.0;physical;0;ice
floral-healing;;;status;0;fairy
high-horsepower;95.0;95.0;physical;0;ground
strength-sap;;100.0;status;0;grass
solar-blade;125.0;100.0;physical;0;grass
leafage;40.0;100.0;physical;0;grass
spotlight;;;status;3;normal
toxic-thread;;100.0;status;0;poison
laser-focus;;;status;0;normal
gear-up;;;status;0;steel
throat-chop;80.0;100.0;physical;0;dark
pollen-puff;90.0;100.0;special;0;bug
anchor-shot;80.0;100.0;physical;0;steel
psychic-terrain;;;status;0;psychic
lunge;80.0;100.0;physical;0;bug
fire-lash;80.0;100.0;physical;0;fire
power-trip;20.0;100.0;physical;0;dark
burn-up;130.0;100.0;special;0;fire
speed-swap;;;status;0;psychic
smart-strike;70.0;;physical;0;steel
purify;;;status;0;poison
revelation-dance;90.0;100.0;special;0;normal
core-enforcer;100.0;100.0;special;0;dragon
trop-kick;70.0;100.0;physical;0;grass
instruct;;;status;0;psychic
beak-blast;100.0;100.0;physical;-3;flying
clanging-scales;110.0;100.0;special;0;dragon
dragon-hammer;90.0;100.0;physical;0;dragon
brutal-swing;60.0;100.0;physical;0;dark
aurora-veil;;;status;0;ice
sinister-arrow-raid;180.0;;physical;0;ghost
malicious-moonsault;180.0;;physical;0;dark
oceanic-operetta;195.0;;special;0;water
guardian-of-alola;;;special;0;fairy
soul-stealing-7-star-strike;195.0;;physical;0;ghost
stoked-sparksurfer;175.0;;special;0;electric
pulverizing-pancake;210.0;;physical;0;normal
extreme-evoboost;;;status;0;normal
genesis-supernova;185.0;;special;0;psychic
shell-trap;150.0;100.0;special;-3;fire
fleur-cannon;130.0;90.0;special;0;fairy
psychic-fangs;85.0;100.0;physical;0;psychic
stomping-tantrum;75.0;100.0;physical;0;ground
shadow-bone;85.0;100.0;physical;0;ghost
accelerock;40.0;100.0;physical;1;rock
liquidation;85.0;100.0;physical;0;water
prismatic-laser;160.0;100.0;special;0;psychic
spectral-thief;90.0;100.0;physical;0;ghost
sunsteel-strike;100.0;100.0;physical;0;steel
moongeist-beam;100.0;100.0;special;0;ghost
tearful-look;;;status;0;normal
zing-zap;80.0;100.0;physical;0;electric
natures-madness;;90.0;special;0;fairy
multi-attack;120.0;100.0;physical;0;normal
10-000-000-volt-thunderbolt;195.0;;special;0;electric
mind-blown;150.0;100.0;special;0;fire
plasma-fists;100.0;100.0;physical;0;electric
photon-geyser;100.0;100.0;special;0;psychic
light-that-burns-the-sky;200.0;;special;0;psychic
searing-sunraze-smash;200.0;;physical;0;steel
menacing-moonraze-maelstrom;200.0;;special;0;ghost
lets-snuggle-forever;190.0;;physical;0;fairy
splintered-stormshards;190.0;;physical;0;rock
clangorous-soulblaze;185.0;;special;0;dragon
zippy-zap;80.0;100.0;physical;2;electric
splishy-splash;90.0;100.0;special;0;water
floaty-fall;90.0;95.0;physical;0;flying
pika-papow;;;special;0;electric
bouncy-bubble;60.0;100.0;special;0;water
buzzy-buzz;60.0;100.0;special;0;electric
sizzly-slide;60.0;100.0;physical;0;fire
glitzy-glow;80.0;95.0;special;0;psychic
baddy-bad;80.0;95.0;special;0;dark
sappy-seed;100.0;90.0;physical;0;grass
freezy-frost;100.0;90.0;special;0;ice
sparkly-swirl;120.0;85.0;special;0;fairy
veevee-volley;;;physical;0;normal
double-iron-bash;60.0;100.0;physical;0;steel
max-guard;;;status;4;normal
